#Reads: 221892
Min: 1
Max: 111
#Read Length Histogram:
Len  Reads  %Reads
1    4037   1.819%
2    11892  5.359%
3    55658  25.083%
4    9100   4.101%
5    49425  22.274%
6    6136   2.765%
7    2718   1.225%
8    18574  8.371%
9    17244  7.771%
10   8549   3.853%
11   10708  4.826%
12   5065   2.283%
13   4536   2.044%
14   3667   1.653%
15   4114   1.854%
16   1869   0.842%
17   1654   0.745%
18   902    0.407%
19   595    0.268%
20   1576   0.710%
21   367    0.165%
22   430    0.194%
23   1141   0.514%
24   576    0.260%
25   117    0.053%
26   119    0.054%
27   118    0.053%
28   116    0.052%
29   49     0.022%
30   41     0.018%
31   44     0.020%
32   76     0.034%
33   47     0.021%
34   71     0.032%
35   28     0.013%
36   42     0.019%
37   20     0.009%
38   17     0.008%
39   23     0.010%
40   23     0.010%
41   19     0.009%
42   15     0.007%
43   12     0.005%
44   18     0.008%
45   23     0.010%
46   12     0.005%
47   11     0.005%
48   12     0.005%
49   13     0.006%
50   8      0.004%
51   14     0.006%
52   18     0.008%
53   14     0.006%
54   12     0.005%
55   10     0.005%
56   7      0.003%
57   6      0.003%
58   14     0.006%
59   8      0.004%
60   4      0.002%
61   10     0.005%
62   6      0.003%
63   16     0.007%
64   6      0.003%
65   14     0.006%
66   5      0.002%
67   3      0.001%
68   6      0.003%
69   2      0.001%
70   3      0.001%
71   6      0.003%
72   3      0.001%
73   4      0.002%
74   5      0.002%
75   5      0.002%
76   3      0.001%
77   2      0.001%
78   4      0.002%
79   3      0.001%
80   2      0.001%
81   3      0.001%
82   5      0.002%
84   2      0.001%
86   1      0.000%
87   1      0.000%
88   3      0.001%
89   1      0.000%
90   1      0.000%
91   1      0.000%
92   2      0.001%
93   1      0.000%
96   4      0.002%
97   3      0.001%
98   2      0.001%
99   3      0.001%
100  5      0.002%
101  1      0.000%
102  3      0.001%
103  2      0.001%
104  2      0.001%
105  1      0.000%
108  2      0.001%
111  1      0.000%
