#Reads: 606409
Min: 3
Max: 382
#Read Length Histogram:
Len  Reads  %Reads
348  2       0.000%
351  3       0.000%
352  1       0.000%
354  1       0.000%
355  1       0.000%
356  1       0.000%
358  2       0.000%
360  2       0.000%
361  1       0.000%
362  1       0.000%
364  1       0.000%
365  1       0.000%
367  1       0.000%
369  2       0.000%
370  1       0.000%
374  1       0.000%
376  3       0.000%
377  1       0.000%
378  1       0.000%
380  1       0.000%
382  1       0.000%
